date,id,store_nbr,sales,onpromotion
2013-01-01,890.5,27.5,1.409438271043771,0.0
2013-01-02,2672.5,27.5,278.39080692704823,0.0
2013-01-03,4454.5,27.5,202.8401970392817,0.0
2013-01-04,6236.5,27.5,198.91115437300783,0.0
2013-01-05,8018.5,27.5,267.87324423625137,0.0
2013-01-06,9800.5,27.5,291.6360275465769,0.0
2013-01-07,11582.5,27.5,188.62110048597083,0.0
2013-01-08,13364.5,27.5,178.6463400566779,0.0
2013-01-09,15146.5,27.5,169.77037543097646,0.0
2013-01-10,16928.5,27.5,145.33221270987653,0.0
2013-01-11,18710.5,27.5,162.59129353787878,0.0
2013-01-12,20492.5,27.5,226.2952929351852,0.0
2013-01-13,22274.5,27.5,260.7399259248036,0.0
2013-01-14,24056.5,27.5,164.61748713692478,0.0
2013-01-15,25838.5,27.5,167.86170031088665,0.0
2013-01-16,27620.5,27.5,178.64641635578002,0.0
2013-01-17,29402.5,27.5,150.11140065965208,0.0
2013-01-18,31184.5,27.5,166.17892818630753,0.0
2013-01-19,32966.5,27.5,242.6822963080808,0.0
2013-01-20,34748.5,27.5,258.7499360533109,0.0
2013-01-21,36530.5,27.5,174.6415633838384,0.0
2013-01-22,38312.5,27.5,166.22599830695847,0.0
2013-01-23,40094.5,27.5,158.95536084876542,0.0
2013-01-24,41876.5,27.5,138.74617900953984,0.0
2013-01-25,43658.5,27.5,162.75127493265992,0.0
2013-01-26,45440.5,27.5,232.21086867300787,0.0
2013-01-27,47222.5,27.5,241.53310394668912,0.0
2013-01-28,49004.5,27.5,160.19089222951737,0.0
2013-01-29,50786.5,27.5,148.42245683305273,0.0
2013-01-30,52568.5,27.5,157.72229351964086,0.0
2013-01-31,54350.5,27.5,152.21897755106622,0.0
2013-02-01,56132.5,27.5,207.2963273097643,0.0
2013-02-02,57914.5,27.5,291.18263900392816,0.0
2013-02-03,59696.5,27.5,272.91628517396185,0.0
2013-02-04,61478.5,27.5,193.21476712514027,0.0
2013-02-05,63260.5,27.5,180.2726369977553,0.0
2013-02-06,65042.5,27.5,180.436687513468,0.0
2013-02-07,66824.5,27.5,163.19165598933782,0.0
2013-02-08,68606.5,27.5,194.9729460785634,0.0
2013-02-09,70388.5,27.5,233.54448881857465,0.0
2013-02-10,72170.5,27.5,168.88402300392815,0.0
2013-02-11,73952.5,27.5,156.35667167564534,0.0
2013-02-12,75734.5,27.5,173.28888378905725,0.0
2013-02-13,77516.5,27.5,179.3478843782267,0.0
2013-02-14,79298.5,27.5,172.93154711391696,0.0
2013-02-15,81080.5,27.5,179.668285023569,0.0
2013-02-16,82862.5,27.5,272.5367530909091,0.0
2013-02-17,84644.5,27.5,224.2362009057239,0.0
2013-02-18,86426.5,27.5,196.8269209826038,0.0
2013-02-19,88208.5,27.5,164.7799113080808,0.0
2013-02-20,89990.5,27.5,176.0960505241302,0.0
2013-02-21,91772.5,27.5,150.23070090656566,0.0
2013-02-22,93554.5,27.5,160.31418020819305,0.0
2013-02-23,95336.5,27.5,231.70446078170593,0.0
2013-02-24,97118.5,27.5,254.05506515319865,0.0
2013-02-25,98900.5,27.5,172.34055888496073,0.0
2013-02-26,100682.5,27.5,151.7536515530303,0.0
